config_id,fault_type,cohort,n,mean_s,variance_s2,p50_s,p95_s
idle_d0,Database Failure,all,100,0.01068,4.83e-06,0.01024,0.012622
idle_d0,Database Failure,cold_only,1,0.010748,0.0,0.010748,0.010748
idle_d0,Database Failure,warm_only,99,0.010679,4.88e-06,0.010238,0.012681
idle_d0,Network Timeout,all,100,0.812368,0.00010199,0.812477,0.827133
idle_d0,Network Timeout,cold_only,1,0.815302,0.0,0.815302,0.815302
idle_d0,Network Timeout,warm_only,99,0.812339,0.00010294,0.812403,0.827162
idle_d0,Server Crash,all,100,0.708035,3.231e-05,0.706116,0.716298
idle_d0,Server Crash,cold_only,1,0.712098,0.0,0.712098,0.712098
idle_d0,Server Crash,warm_only,99,0.707994,3.247e-05,0.706049,0.716312
idle_d100,Database Failure,all,100,0.009583,5.59e-06,0.009026,0.012139
idle_d100,Database Failure,cold_only,1,0.008505,0.0,0.008505,0.008505
idle_d100,Database Failure,warm_only,99,0.009594,5.63e-06,0.009027,0.012172
idle_d100,Network Timeout,all,100,0.911431,8.529e-05,0.909378,0.925978
idle_d100,Network Timeout,cold_only,1,0.928018,0.0,0.928018,0.928018
idle_d100,Network Timeout,warm_only,99,0.911263,8.332e-05,0.906654,0.925758
idle_d100,Server Crash,all,100,0.708474,3.394e-05,0.708362,0.715852
idle_d100,Server Crash,cold_only,1,0.714634,0.0,0.714634,0.714634
idle_d100,Server Crash,warm_only,99,0.708411,3.389e-05,0.708322,0.715858
stress_d0,Database Failure,all,100,9.092724,2.19141927,9.007414,11.43901
stress_d0,Database Failure,cold_only,1,10.184466,0.0,10.184466,10.184466
stress_d0,Database Failure,warm_only,99,9.081697,2.20149559,9.004664,11.445384
stress_d0,Network Timeout,all,100,4.880339,0.674584,4.794595,6.33994
stress_d0,Network Timeout,cold_only,1,4.296439,0.0,4.296439,4.296439
stress_d0,Network Timeout,warm_only,99,4.886237,0.6779534,4.800458,6.341928
stress_d0,Server Crash,all,100,3.214269,0.56795114,3.242589,4.399145
stress_d0,Server Crash,cold_only,1,2.920492,0.0,2.920492,2.920492
stress_d0,Server Crash,warm_only,99,3.217237,0.572857,3.248789,4.399515
stress_d100,Database Failure,all,100,9.52144,1.45728837,9.488152,11.557951
stress_d100,Database Failure,cold_only,1,12.871063,0.0,12.871063,12.871063
stress_d100,Database Failure,warm_only,99,9.487606,1.35651268,9.475872,11.349441
stress_d100,Network Timeout,all,100,6.1995,0.93954376,6.247076,7.903761
stress_d100,Network Timeout,cold_only,1,6.919128,0.0,6.919128,6.919128
stress_d100,Network Timeout,warm_only,99,6.192231,0.94379323,6.239123,7.911681
stress_d100,Server Crash,all,100,3.293436,0.49064055,3.245385,4.532361
stress_d100,Server Crash,cold_only,1,2.736391,0.0,2.736391,2.736391
stress_d100,Server Crash,warm_only,99,3.299062,0.49244879,3.26246,4.534963
idle_d0,Database Failure,success_rate_pct,100,100.0,0.0,0.0,0.0
idle_d0,Network Timeout,success_rate_pct,100,100.0,0.0,0.0,0.0
idle_d0,Server Crash,success_rate_pct,100,100.0,0.0,0.0,0.0
idle_d100,Database Failure,success_rate_pct,100,100.0,0.0,0.0,0.0
idle_d100,Network Timeout,success_rate_pct,100,100.0,0.0,0.0,0.0
idle_d100,Server Crash,success_rate_pct,100,100.0,0.0,0.0,0.0
stress_d0,Database Failure,success_rate_pct,100,100.0,0.0,0.0,0.0
stress_d0,Network Timeout,success_rate_pct,100,100.0,0.0,0.0,0.0
stress_d0,Server Crash,success_rate_pct,100,100.0,0.0,0.0,0.0
stress_d100,Database Failure,success_rate_pct,100,100.0,0.0,0.0,0.0
stress_d100,Network Timeout,success_rate_pct,100,100.0,0.0,0.0,0.0
stress_d100,Server Crash,success_rate_pct,100,100.0,0.0,0.0,0.0
